,Price,Open,High,Low,Vol.,Change %
2020-06-02,1728.9,1743.5,1750.0,1724.1,0.69,-0.0083
2020-06-03,1701.0,1729.7,1729.8,1686.9,1.72,-0.0161
2020-06-04,1721.8,1699.6,1722.6,1695.5,1.1,0.012199999999999999
2020-06-05,1678.5,1715.0,1717.2,1669.1,1.1,-0.025099999999999997
2020-06-06,1678.5,1715.0,1717.2,1669.1,1.1,-0.025099999999999997
2020-06-07,1678.5,1715.0,1717.2,1669.1,1.1,-0.025099999999999997
2020-06-08,1699.9,1682.0,1702.6,1675.8,0.75,0.0127
2020-06-09,1717.0,1699.2,1724.1,1694.4,0.62,0.0101
2020-06-10,1715.5,1715.1,1743.6,1709.0,1.15,-0.0009
2020-06-11,1734.7,1741.2,1749.4,1722.6,0.76,0.011200000000000002
2020-06-12,1732.0,1729.7,1746.9,1724.1,0.59,-0.0016
2020-06-13,1732.0,1729.7,1746.9,1724.1,0.59,-0.0016
2020-06-14,1732.0,1729.7,1746.9,1724.1,0.59,-0.0016
2020-06-15,1721.8,1733.2,1736.2,1701.0,0.65,-0.0059
2020-06-16,1731.5,1729.0,1735.5,1718.9,0.37,0.005600000000000001
2020-06-17,1730.3,1730.6,1733.8,1714.4,0.36,-0.0007000000000000001
2020-06-18,1726.0,1730.7,1742.1,1717.6,0.26,-0.0025
2020-06-19,1747.1,1726.3,1753.5,1726.3,1.87,0.012199999999999999
2020-06-20,1747.1,1726.3,1753.5,1726.3,1.87,0.012199999999999999
2020-06-21,1747.1,1726.3,1753.5,1726.3,1.87,0.012199999999999999
2020-06-22,1758.4,1755.5,1771.0,1747.4,1.91,0.006500000000000001
2020-06-23,1774.1,1759.3,1777.6,1751.7,1.03,0.0089
2020-06-24,1768.1,1777.3,1786.3,1765.0,1.71,-0.0034000000000000002
2020-06-25,1763.1,1760.7,1771.7,1760.4,0.48,-0.0028000000000000004
2020-06-26,1773.3,1768.2,1778.5,1748.4,0.64,0.0058
2020-06-27,1773.3,1768.2,1778.5,1748.4,0.64,0.0058
2020-06-28,1773.3,1768.2,1778.5,1748.4,0.64,0.0058
2020-06-29,1781.2,1789.2,1790.4,1776.5,130.51,0.0045000000000000005
2020-06-30,1800.5,1784.2,1804.0,1774.8,199.42,0.0108
2020-07-01,1779.9,1798.9,1807.7,1767.9,263.25,-0.011399999999999999
2020-07-02,1790.0,1779.0,1791.7,1766.3,186.31,0.005699999999999999
2020-07-03,1793.5,1787.9,1799.0,1779.2,184.65,0.002
2020-07-04,1793.5,1787.9,1799.0,1779.2,184.65,0.002
2020-07-05,1793.5,1787.9,1799.0,1779.2,184.65,0.002
2020-07-06,1793.5,1787.9,1799.0,1779.2,184.65,0.0
2020-07-07,1809.9,1793.9,1810.8,1781.2,221.73,0.0091
2020-07-08,1820.6,1807.9,1829.8,1803.8,247.5,0.0059
2020-07-09,1803.8,1818.8,1825.5,1799.6,283.37,-0.0092
2020-07-10,1801.9,1808.4,1817.0,1796.5,223.83,-0.0011
2020-07-11,1801.9,1808.4,1817.0,1796.5,223.83,-0.0011
2020-07-12,1801.9,1808.4,1817.0,1796.5,223.83,-0.0011
2020-07-13,1814.1,1803.4,1818.8,1802.1,230.4,0.0068000000000000005
2020-07-14,1813.4,1805.2,1815.0,1791.1,253.21,-0.0004
2020-07-15,1813.8,1811.1,1819.5,1804.0,183.06,0.0002
2020-07-16,1800.3,1813.1,1816.2,1794.1,196.57,-0.0074
2020-07-17,1810.0,1796.9,1813.9,1795.2,167.01,0.0054
2020-07-18,1810.0,1796.9,1813.9,1795.2,167.01,0.0054
2020-07-19,1810.0,1796.9,1813.9,1795.2,167.01,0.0054
2020-07-20,1817.4,1812.3,1823.4,1806.6,177.74,0.0040999999999999995
2020-07-21,1843.9,1819.6,1844.9,1817.2,271.09,0.0146
2020-07-22,1865.1,1842.8,1871.8,1842.1,382.23,0.0115
2020-07-23,1890.0,1871.6,1897.7,1863.1,418.75,0.0134
2020-07-24,1897.5,1884.9,1904.6,1880.5,300.17,0.004
2020-07-25,1897.5,1884.9,1904.6,1880.5,300.17,0.004
2020-07-26,1897.5,1884.9,1904.6,1880.5,300.17,0.004
2020-07-27,1931.0,1901.2,1941.9,1899.0,428.23,0.0177
